route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"27-RB1-C-j20-2","11","RB1","","3","8000ff","FFFFFF"
"27-RB2-C-j20-1","11","RB2","","3","8000ff","FFFFFF"
"27-RB2-C-j20-2","11","RB2","","3","8000ff","FFFFFF"
"27-RB3-C-j20-1","11","RB3","","3","8000ff","FFFFFF"
"27-RB3-C-j20-2","11","RB3","","3","8000ff","FFFFFF"
"28-131-E-j20-1","12","131","","3","8000ff","FFFFFF"
"28-132-C-j20-1","12","132","","3","8000ff","FFFFFF"
"28-133-C-j20-1","12","133","","3","8000ff","FFFFFF"
"28-140-C-j20-2","12","140","","3","8000ff","FFFFFF"
"30-103-C-j20-2","23","103","","3","8000ff","FFFFFF"
"30-104-C-j20-1","23","104","","3","8000ff","FFFFFF"
"30-104-S-j20-2","23","104s","","3","8000ff","FFFFFF"
"30-105-C-j20-1","23","105","","3","8000ff","FFFFFF"
"30-110-C-j20-1","23","110","","3","8000ff","FFFFFF"
"30-112-C-j20-1","23","112","","3","8000ff","FFFFFF"
"30-222-C-j20-1","23","222","","3","8000ff","FFFFFF"
"30-227-C-j20-1","23","227","","3","8000ff","FFFFFF"
"30-227-C-j20-2","23","227","","3","8000ff","FFFFFF"
"30-290-C-j20-1","23","290","","3","8000ff","FFFFFF"
"30-291-C-j20-1","23","291","","3","8000ff","FFFFFF"
"30-292-C-j20-1","23","292","","3","8000ff","FFFFFF"
"32-124-C-j20-1","34","124","","3","8000ff","FFFFFF"
"32-125-E-j20-1","34","125","","3","8000ff","FFFFFF"
"32-125-E-j20-2","34","125","","3","8000ff","FFFFFF"
"32-126-C-j20-3","34","126","","3","8000ff","FFFFFF"
"32-127-C-j20-2","34","127","","3","8000ff","FFFFFF"
"32-128-C-j20-1","34","128","","3","8000ff","FFFFFF"
"32-130-C-j20-1","34","130","","3","8000ff","FFFFFF"
"32-192-C-j20-1","34","192","","3","8000ff","FFFFFF"
"32-193-C-j20-2","34","193","","3","8000ff","FFFFFF"
"32-194-C-j20-2","34","194","","3","8000ff","FFFFFF"
"32-195-C-j20-1","34","195","","3","8000ff","FFFFFF"
"32-198-C-j20-2","34","198","","3","8000ff","FFFFFF"
"32-245-C-j20-3","34","245","","3","8000ff","FFFFFF"
"32-246-C-j20-1","34","246","","3","8000ff","FFFFFF"
"32-248-C-j20-1","34","248","","3","8000ff","FFFFFF"
"32-248-C-j20-2","34","248","","3","8000ff","FFFFFF"
"32-262-C-j20-1","34","262","","3","8000ff","FFFFFF"
"32-263-C-j20-1","34","263","","3","8000ff","FFFFFF"
"32-263-C-j20-3","34","263","","3","8000ff","FFFFFF"
"32-264-C-j20-1","34","264","","3","8000ff","FFFFFF"
"32-264-C-j20-2","34","264","","3","8000ff","FFFFFF"
"32-265-C-j20-1","34","265","","3","8000ff","FFFFFF"
"32-266-C-j20-1","34","266","","3","8000ff","FFFFFF"
"3-93-E-j20-1","02","3 NL","","3","8000ff","FFFFFF"
"3-93-E-j20-2","02","3 NL","","3","8000ff","FFFFFF"
"3-94-E-j20-1","02","4 NL","","3","8000ff","FFFFFF"
"3-95-E-j20-1","02","5 NL","","3","8000ff","FFFFFF"
"3-95-E-j20-2","02","5 NL","","3","8000ff","FFFFFF"
"40-14-E-j20-1","01","SEV S4","","3","8000ff","FFFFFF"
"40-14-E-j20-2","01","SEV S4","","3","8000ff","FFFFFF"
"40-19-E-j20-1","01","SEV S9","","3","8000ff","FFFFFF"
"40-19-E-j20-2","01","SEV S9","","3","8000ff","FFFFFF"
"40-19-E-j20-3","01","SEV S9","","3","8000ff","FFFFFF"
"40-31-E-j20-1","01","SEV S31","","3","8000ff","FFFFFF"
"40-441-E-j20-1","01","SEV S41","","3","8000ff","FFFFFF"
"40-441-E-j20-2","01","SEV S41","","3","8000ff","FFFFFF"
"40-441-E-j20-3","01","SEV S41","","3","8000ff","FFFFFF"
"40-71-E-j20-1","01","SEV S7/S71","","3","8000ff","FFFFFF"
"40-71-E-j20-2","01","SEV S7/S71","","3","8000ff","FFFFFF"
"40-71-E-j20-3","01","SEV S7/S71","","3","8000ff","FFFFFF"
"40-80-E-j20-1","01","SEV S8/S81","","3","8000ff","FFFFFF"
"40-80-E-j20-2","01","SEV S8/S81","","3","8000ff","FFFFFF"
"41-SEV-E-j20-1","02","SEV","","3","8000ff","FFFFFF"
"41-SEV-E-j20-2","02","SEV","","3","8000ff","FFFFFF"
"41-SEV-E-j20-3","02","SEV","","3","8000ff","FFFFFF"
"5-113-C-j20-1","32","113","","3","8000ff","FFFFFF"
"5-116-C-j20-1","32","116","","3","8000ff","FFFFFF"
"6-107-C-j20-1","01","107","","3","8000ff","FFFFFF"
"6-114-E-j20-1","01","114","","3","8000ff","FFFFFF"
"6-115-E-j20-1","01","115","","3","8000ff","FFFFFF"
"6-115-E-j20-2","01","115","","3","8000ff","FFFFFF"
"6-118-E-j20-2","01","118","","3","8000ff","FFFFFF"
"6-118-E-j20-3","01","118","","3","8000ff","FFFFFF"
"6-118-E-j20-4","01","118","","3","8000ff","FFFFFF"
"6-151-E-j20-1","01","151","","3","8000ff","FFFFFF"
"6-152-E-j20-1","01","152","","3","8000ff","FFFFFF"
"6-153-E-j20-1","01","153","","3","8000ff","FFFFFF"
"6-159-E-j20-1","01","159","","3","8000ff","FFFFFF"
"6-23-E-j20-1","01","23","","3","8000ff","FFFFFF"
"8-101-C-j20-1","17","101","","3","8000ff","FFFFFF"
"8-102-C-j20-1","17","102","","3","8000ff","FFFFFF"
"8-106-C-j20-1","17","106","","3","8000ff","FFFFFF"
"8-108-C-j20-1","17","108","","3","8000ff","FFFFFF"
"8-109-C-j20-1","17","109","","3","8000ff","FFFFFF"
"8-120-C-j20-1","17","120","","3","8000ff","FFFFFF"
"8-121-C-j20-3","17","121","","3","8000ff","FFFFFF"
"8-180-C-j20-1","18","180","","3","8000ff","FFFFFF"
"8-181-C-j20-1","18","181","","3","8000ff","FFFFFF"
"8-182-C-j20-1","18","182","","3","8000ff","FFFFFF"
"8-183-C-j20-1","18","183","","3","8000ff","FFFFFF"
"8-185-C-j20-1","18","185","","3","8000ff","FFFFFF"
"8-186-C-j20-1","18","186","","3","8000ff","FFFFFF"
"8-187-C-j20-1","17","187","","3","8000ff","FFFFFF"
"8-187-C-j20-2","17","187","","3","8000ff","FFFFFF"
"8-188-C-j20-1","17","188","","3","8000ff","FFFFFF"
"8-189-C-j20-1","17","189","","3","8000ff","FFFFFF"
"8-240-S-j20-1","17","240s","","3","8000ff","FFFFFF"
"8-241-C-j20-1","17","241","","3","8000ff","FFFFFF"
"8-242-C-j20-1","17","242","","3","8000ff","FFFFFF"
"8-244-C-j20-1","17","244","","3","8000ff","FFFFFF"
"8-247-S-j20-1","17","247s","","3","8000ff","FFFFFF"
"8-251-C-j20-2","17","251","","3","8000ff","FFFFFF"
"8-252-S-j20-1","19","252s","","3","8000ff","FFFFFF"
"8-253-C-j20-1","17","253","","3","8000ff","FFFFFF"
"8-259-C-j20-1","17","259","","3","8000ff","FFFFFF"
